"ID_study","system","latitud","longitud","n_avail","n_total","p_avail","p_total","c_total","light","temp","duration","vol","tax_resp","tax_resp_mn","tax_resp_sd","tax_resp_reps","tax_resp_cat","tax_resp_typ","n_add","p_add","n_rate","p_rate","tax_resp_unit","fert_unit"
"BBH056","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","4.4","0.33","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH057","freshwater","44","-74","2.5",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","3.8","0.13","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH057","freshwater","44","-74","2.5",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","6.6","0.36","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH057","freshwater","44","-74","2.5",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","6","0.052","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH057","freshwater","44","-74","2.5",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","10","0.055","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH058","freshwater","44","-74","30",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","1.4","0.073","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH058","freshwater","44","-74","30",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","1.8","0.036","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH058","freshwater","44","-74","30",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","2.4","0.74","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH058","freshwater","44","-74","30",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","2.3","0.28","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH059","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","3.3","0.07","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH059","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","4.1","0.03","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH059","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","4.1","0.19","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH059","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","4","0.068","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH060","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.8","0.051","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH060","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","2.5","0.069","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH060","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","2.8","0.085","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH060","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","2.9","0.14","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH061","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.3","0.028","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH061","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.4","0.079","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH061","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.7","0.17","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH062","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.5","0.054","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH062","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.2","0.056","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH062","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.4","0.13","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH062","freshwater","44","-74","26",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.3","0.19","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH063","freshwater","44","-74","4.2",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","1.9","0.044","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH063","freshwater","44","-74","4.2",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","3.3","0.047","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH063","freshwater","44","-74","4.2",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","4.4","0.014","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH063","freshwater","44","-74","4.2",NA,"0.13",NA,NA,NA,"22.5","2","10","phytoplankton","4.1","0.01","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH064","freshwater","44","-74","24",NA,"0.074",NA,NA,NA,"22.5","2","10","phytoplankton","0.5","0.0068","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH064","freshwater","44","-74","24",NA,"0.074",NA,NA,NA,"22.5","2","10","phytoplankton","0.65","0.023","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH064","freshwater","44","-74","24",NA,"0.074",NA,NA,NA,"22.5","2","10","phytoplankton","1.1","0.24","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH064","freshwater","44","-74","24",NA,"0.074",NA,NA,NA,"22.5","2","10","phytoplankton","0.99","0.032","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH065","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.1","0.32","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH065","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.8","0.14","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH065","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.9",NA,"3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH065","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.1","0.19","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
