botid, date, time, press, theta, sigma, temp, csal, coxy, bsal, boxy, dic, ph, alk, phos, nit, sil, dop, don, doc, tdp, tdn, pc, pn, pp, lln, llp, chl, phaeo, chl3, chl12, chlplus, perid, but19, fuco, hex19, prasino, diadino, zeaxan, chlb, hplc, acar, bcar, caroten, chlda, viol, lutein, mvchla, dvchla, hbact, pbact, sbact, ebact, atp, n2o, psi, pe4, pe5, pe10, p15n, l12, d12, no2, 
#, mmddyy, hhmmss, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, PSS-78, umol/kg, umol/kg,  , ueq/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, nmol/kg, nmol/kg, nmol/kg, ug/l, ug/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, #*1e5/ml, #*1e5/ml, #*1e5/ml, #*1e5/ml, ng/kg, nmol/kg, nmol/kg, ng/l, ng/l, ng/l, permil, mg C/m3, mg C/m3, nmol/kg, 
10200402,103188,41035,2283.6,1.6858,27.707,1.844,34.6394,111,34.6386,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200401,103188,35732,2498.3,1.5513,27.726,1.7263,34.65,118.5,34.6509,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200512,103188,92645,2488.7,1.5694,27.722,1.7439,34.6477,114.7,34.6474,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200511,103188,90459,2680.5,1.4523,27.739,1.6422,34.6583,122.6,34.6581,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200510,103188,90008,2880,1.3606,27.751,1.5675,34.6648,129.1,34.6659,-9,-9,-9,-9,-9,37.05,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200509,103188,85203,3067.6,1.3046,27.759,1.5285,34.6698,134.4,34.6688,-9,-9,-9,-9,-9,-9,-9,0.03,1.86,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200508,103188,84719,3259,1.2553,27.766,1.4972,34.6742,138.7,34.6741,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200507,103188,83848,3451.5,1.2156,27.772,1.4763,34.6779,141.7,34.6766,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200506,103188,83324,3675.3,1.1813,27.777,1.4646,34.6808,145.9,34.6786,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
10200505,103188,82849,3877.7,1.1569,27.78,1.4616,34.6829,148.1,34.6819,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
