Index,Source number,Source name,Species name,Species code,Invert/Vert,Phylum,Class,Order,Family,Trophic guild,Dry mass (g),Log dry mass,Ecosystem Type,Energy Source,Habitat,Resident ecosystem,Temperature (C),N excretion rate (ug N/ind/h),P excretion rate (ug P/ind/h),Excreted N:P (molar),Log N excretion,Log P excretion,Incubation time (h),N form,P form,Body C,Body N,Body P,Body CN,Body CP,Body NP,Body data source,Data source,Data provider(s)
27,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00219,-2.66,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,0.2855,0.0257,24.6,-0.544,-1.59,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
28,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00263,-2.58,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,0.3863,0.0195,43.8,-0.413,-1.709,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
29,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00293,-2.533,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,0.702,0.0357,43.6,-0.154,-1.448,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
30,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00412,-2.385,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,0.464,0.026,39.5,-0.334,-1.585,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
31,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00448,-2.349,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,0.6487,0.0112,128,-0.188,-1.95,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
32,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0046,-2.337,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,0.7077,0.2182,7.18,-0.15,-0.661,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
33,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00873,-2.059,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,0.7237,0.022,72.7,-0.14,-1.657,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
34,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01559,-1.807,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,1.2768,0.04,70.7,0.106,-1.398,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
35,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0157,-1.804,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,1.3495,0.0837,35.7,0.13,-1.077,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
36,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01653,-1.782,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,1.0258,0.08,28.4,0.011,-1.097,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
37,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01707,-1.768,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,1.9631,0.2651,16.4,0.293,-0.577,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
38,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01796,-1.746,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,1.3975,0.0998,31,0.145,-1.001,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
39,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01813,-1.742,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,1.3348,0.1531,19.3,0.125,-0.815,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
40,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01227,-1.911,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",12.75,0.9125,0.2554,7.91,-0.04,-0.593,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
41,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01307,-1.884,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,1.6345,0.4371,8.28,0.213,-0.359,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
42,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0152,-1.818,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,2.4948,0.1395,39.6,0.397,-0.855,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
